Tanggal,Tn,Tx,Tavg,RH_avg,RR,ff_avg
2019-04-10,25,32.8,29.5,74,0,1
2019-04-11,26,35.2,30.4,70,0,2
2019-04-12,26,33,29.5,75,0,2
2019-04-13,27,33.2,29.8,75,0,2
2019-04-14,25.8,34,29.6,70,1,1
2019-04-15,26,33,28.8,78,0,2
2019-04-16,25,33.2,28.3,81,6.8,1
2019-04-17,26,32.4,28.9,80,1.8,1
2019-04-18,26.4,34.6,30.7,74,0,2
2019-04-19,26,32,27.9,86,18.2,1
2019-04-20,25,30.8,27.8,83,12.9,1
2019-04-21,25.6,33.8,29.4,80,5.6,2
2019-04-22,27.2,34.8,30.1,69,11,2
2019-04-23,25.2,34.4,30.3,72,0,2
2019-04-24,27.4,30.6,28,84,0,1
2019-04-25,25.4,34.2,29.3,77,22.8,1
2019-04-25,26,33.2,28.3,84,13.2,1
2019-04-27,26.2,30.8,27.9,85,1.8,1
2019-04-28,27,31,28.5,82,0,1
2019-04-29,26.4,31.4,28.9,81,5.5,1
2019-04-30,26.4,31.6,28.2,83,9.8,1
2019-05-01,26,31.4,28.6,76,24.5,3
2019-05-02,25.6,34.4,29.6,72,0,2
2019-05-03,26.4,32.4,29.2,78,0,1
2019-05-04,27,32.6,29.5,79,8888,2
2019-05-05,26,32.6,29.1,80,8,2
2019-05-06,27,32,29,78,8888,1
2019-05-07,26,33.2,29.4,77,0,1
2019-05-08,27,33.4,29,77,0,1
2019-05-09,26,33.2,28.8,78,0,2
2019-05-10,26,31.8,28.4,78,8,1
2019-05-11,26,33,29.4,81,3.8,1
2019-05-12,27,34.2,29.9,76,0,1
2019-05-13,27,34.2,30,72,0,1
2019-05-14,28,34.8,30.3,72,0,2
2019-05-15,26,34.4,30.4,74,0,2
2019-05-16,25,32.8,29.1,77,0,1
2019-05-17,26,32.4,28.7,80,1.2,1
2019-05-18,26,32.4,29.1,77,2.3,1
2019-05-19,27,33.4,29.6,70,0,2
2019-05-20,27,34.4,30.3,72,0,2
2019-05-21,28,34.2,30.3,71,0,1
2019-05-22,27,33.8,29.8,69,0,2
2019-05-23,27,35,30.5,68,0,2
2019-05-24,27,34.6,30.2,66,0,1
2019-05-25,27,34,29.6,71,0,1
2019-05-26,27,33.8,29.8,70,0,1
2019-05-27,27,34.8,30.6,69,0,2
2019-05-28,27,34.4,30.3,68,0,2
2019-05-29,28,34.4,30.1,72,0,2
2019-05-30,27,33.8,29.5,73,0,1
2019-05-31,26,34.8,30.6,66,0,1
2019-06-01,27,33.2,29.4,72,0,1
2019-06-02,27,32.6,29.5,74,0,2
2019-06-03,27,32.8,28.6,71,0,1
2019-06-04,26,33.6,29.6,71,0,2
2019-06-05,26,34.2,29.5,74,0,1
2019-06-06,27,34,30,75,0,2
2019-06-07,27,32.4,29.3,73,0,1
2019-06-08,24,33.2,29.1,79,18.1,2
2019-06-09,25,32.8,29.1,76,0,1
2019-06-10,26,33.6,29.1,70,0,1
2019-06-11,26,33.8,29.7,74,0,1
2019-06-12,27,33.4,29.7,74,0,1
2019-06-13,28,32.4,29.8,75,0,1
2019-06-14,26,31.6,28.6,78,0,1
2019-06-15,26,32.4,29.2,77,5,1
2019-06-16,27,33.6,29.5,74,0,2
